        1 file(s) copied. 

n =

   273


p =

   133

Initial regression, p=14, R^2=0.58627
v=0, p=14, R^2=0.69429, of=40.4084,  btrsize=0, etrsize=0, ecr=0.28329
v=1, p=14, R^2=0.69706, of=41.3127,  btrsize=15, etrsize=12, ecr=1.583
v=2, p=14, R^2=0.69706, of=41.3127,  btrsize=15, etrsize=21, ecr=2.5815
v=3, p=14, R^2=0.69706, of=41.3127,  btrsize=15, etrsize=34, ecr=1.6571
v=4, p=14, R^2=0.69706, of=41.3127,  btrsize=15, etrsize=37, ecr=1.0991
v=5, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=39, ecr=1.4037
v=6, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=40, ecr=1.8192
v=7, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=40, ecr=4.7172
v=8, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=48, ecr=2.8759
v=9, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=48, ecr=2.1619
v=10, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=49, ecr=1.1334
v=11, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=49, ecr=3.1079
v=12, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=53, ecr=2.6885
v=13, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=56, ecr=2.113
v=14, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=56, ecr=1.9049
searching 2: restart search based on partial(stepwise) btr, p=14
v=15, p=9, R^2=0.56547, of=42.9561,  btrsize=16, etrsize=56, ecr=4.362
v=16, p=7, R^2=0.49893, of=44.2217,  btrsize=17, etrsize=72, ecr=2.6118
v=1, p=10, R^2=0.61018, of=44.635,  btrsize=18, etrsize=74, ecr=1.6057
v=2, p=10, R^2=0.61018, of=44.635,  btrsize=18, etrsize=74, ecr=1.033
v=3, p=10, R^2=0.61018, of=44.635,  btrsize=18, etrsize=75, ecr=2.2953
v=4, p=12, R^2=0.66884, of=44.7074,  btrsize=18, etrsize=75, ecr=1.7319
v=5, p=12, R^2=0.66884, of=44.7074,  btrsize=18, etrsize=78, ecr=1.9388
v=6, p=9, R^2=0.58538, of=46.2409,  btrsize=19, etrsize=80, ecr=2.0674
v=7, p=9, R^2=0.58538, of=46.2409,  btrsize=19, etrsize=80, ecr=2.2335
v=8, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=81, ecr=3.1563
v=9, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.2244
v=10, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=1.9398
v=11, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=1.7047
v=12, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.6342
v=13, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.356
v=14, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.6904
v=15, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.4039
v=16, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=2.2108
v=17, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=84, ecr=5.2648
v=1, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=93, ecr=3.1476
v=2, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=93, ecr=1.9247
v=3, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=93, ecr=4.9632
v=4, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=102, ecr=2.966
v=5, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=102, ecr=4.9016
v=6, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=120, ecr=2.9017
v=7, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=120, ecr=5.6065
v=8, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=123, ecr=15.3757
v=9, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=3187, ecr=7.7733
v=10, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=3187, ecr=2.5621
v=11, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=3188, ecr=1.4476
v=12, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=3188, ecr=1.5898
v=13, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=3188, ecr=2.0307
v=14, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=21, ecr=6.7938
searching 3: intensive search based on top 4 Btr, p=15
v=15, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=4.2436
v=16, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=2.7018
v=17, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=2.89
v=18, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=2.8429
v=19, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=2.3248
v=20, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=3.928
v=21, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=54, ecr=7.3885
v=22, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=490, ecr=3.8373
v=23, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=492, ecr=2.5979
v=24, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=492, ecr=2.0527
v=25, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=492, ecr=1.0935
v=26, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=492, ecr=1.5618
v=27, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=492, ecr=4.1131
v=28, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=496, ecr=4.2073
v=29, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=497, ecr=3.4873
searching 4: restart search based on top 5 results, p=16
v=30, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=497, ecr=5.8813
v=31, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=515, ecr=3.1191
v=32, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=515, ecr=1.7932
v=33, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=515, ecr=4.4363
v=34, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=515, ecr=5.4862
v=1, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=521, ecr=4.1507
v=2, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=522, ecr=4.57
v=3, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=523, ecr=4.5178
v=4, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=524, ecr=4.0687
v=5, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=525, ecr=3.1391
v=6, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=528, ecr=2.6562
v=7, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=528, ecr=2.3255
v=8, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=528, ecr=3.6498
v=9, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=529, ecr=2.4041
v=10, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=529, ecr=1.5024
v=11, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=529, ecr=2.7708
v=12, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=530, ecr=4.944
v=13, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=567, ecr=2.6423
v=14, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=568, ecr=1.4356
searching 5: intensive search based on top 6 Btrs, p=14
v=15, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=568, ecr=1.6999
v=16, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=568, ecr=5.9998
v=17, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=568, ecr=11.9753
v=18, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=640, ecr=6.2862
v=19, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=640, ecr=3.3641
v=20, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=640, ecr=1.8823
v=21, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=640, ecr=2.4288
v=22, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=640, ecr=7.749
v=23, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=654, ecr=4.1034
v=24, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=654, ecr=2.1972
v=25, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=654, ecr=2.1827
v=26, p=12, R^2=0.67712, of=46.4217,  btrsize=21, etrsize=654, ecr=3.5587
